Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C
118,0.118814,"nan","nan","nan"
119,0.119825,"nan","nan","nan"
120,0.120814,"nan","nan","nan"
121,0.121811,"nan","nan","nan"
122,0.122812,"nan","nan","nan"
123,0.123812,"nan","nan","nan"
124,0.124902,"nan","nan","nan"
125,0.125816,"nan","nan","nan"
126,0.126817,"nan","nan","nan"
127,0.127816,"nan","nan","nan"
128,0.128816,"nan","nan","nan"
129,0.129807,"nan","nan","nan"
130,0.130807,"nan","nan","nan"
131,0.131807,"nan","nan","nan"
132,0.132808,"nan","nan","nan"
133,0.133808,"nan","nan","nan"
134,0.134808,"nan","nan","nan"
135,0.135825,"nan","nan","nan"
136,0.136813,"nan","nan","nan"
137,0.137813,"nan","nan","nan"
138,0.138813,"nan","nan","nan"
139,0.139816,"nan","nan","nan"
140,0.140816,"nan","nan","nan"
141,0.141815,"nan","nan","nan"
142,0.142816,"nan","nan","nan"
143,0.143815,"nan","nan","nan"
144,0.144815,"nan","nan","nan"
145,0.145822,"nan","nan","nan"
146,0.146809,"nan","nan","nan"
147,0.147810,"nan","nan","nan"
148,0.148810,"nan","nan","nan"
149,0.149813,"nan","nan","nan"
150,0.150812,"nan","nan","nan"
151,0.151813,"nan","nan","nan"
152,0.152813,"nan","nan","nan"
153,0.153813,"nan","nan","nan"
154,0.154813,"nan","nan","nan"
155,0.155838,"nan","nan","nan"
156,0.156826,"nan","nan","nan"
157,0.157815,"nan","nan","nan"
158,0.158815,"nan","nan","nan"
159,0.159805,"nan","nan","nan"
160,0.160806,"nan","nan","nan"
161,0.161807,"nan","nan","nan"
162,0.162807,"nan","nan","nan"
163,0.163808,"nan","nan","nan"
164,0.164807,"nan","nan","nan"
165,0.165809,"nan","nan","nan"
166,0.166821,"nan","nan","nan"
167,0.167809,"nan","nan","nan"
168,0.168811,"nan","nan","nan"
169,0.169813,"nan","nan","nan"
170,0.170814,"nan","nan","nan"
171,0.171815,"nan","nan","nan"
172,0.172815,"nan","nan","nan"
173,0.173816,"nan","nan","nan"
174,0.174830,"nan","nan","nan"
175,0.175826,"nan","nan","nan"
176,0.176840,"nan","nan","nan"
177,0.177823,"nan","nan","nan"
178,0.178812,"nan","nan","nan"
179,0.179815,"nan","nan","nan"
180,0.180817,"nan","nan","nan"
181,0.181818,"nan","nan","nan"
182,0.182807,"nan","nan","nan"
183,0.183807,"nan","nan","nan"
184,0.184808,"nan","nan","nan"
185,0.185808,"nan","nan","nan"
186,0.186808,"nan","nan","nan"
187,0.187833,"nan","nan","nan"
188,0.188808,"nan","nan","nan"
189,0.189812,"nan","nan","nan"
190,0.190812,"nan","nan","nan"
191,0.191812,"nan","nan","nan"
192,0.192812,"nan","nan","nan"
193,0.193811,"nan","nan","nan"
194,0.194811,"nan","nan","nan"
195,0.195811,"nan","nan","nan"
196,0.196811,"nan","nan","nan"
197,0.197812,"nan","nan","nan"
198,0.198823,"nan","nan","nan"
199,0.199814,"nan","nan","nan"
200,0.200813,"nan","nan","nan"
201,0.201813,"nan","nan","nan"
202,0.202813,"nan","nan","nan"
203,0.203813,"nan","nan","nan"
204,0.204813,"nan","nan","nan"
205,0.205813,"nan","nan","nan"
206,0.206813,"nan","nan","nan"
207,0.207812,"nan","nan","nan"
208,0.208823,"nan","nan","nan"
209,0.209814,"nan","nan","nan"
210,0.210814,"nan","nan","nan"
211,0.211814,"nan","nan","nan"
212,0.212813,"nan","nan","nan"
213,0.213814,"nan","nan","nan"
214,0.214814,"nan","nan","nan"
215,0.215814,"nan","nan","nan"
216,0.216814,"nan","nan","nan"
217,0.217813,"nan","nan","nan"
218,0.218814,"nan","nan","nan"
219,0.219828,"nan","nan","nan"
220,0.220816,"nan","nan","nan"
221,0.221804,"nan","nan","nan"
222,0.222806,"nan","nan","nan"
223,0.223806,"nan","nan","nan"
224,0.224807,"nan","nan","nan"
225,0.225808,"nan","nan","nan"
226,0.226808,"nan","nan","nan"
227,0.227809,"nan","nan","nan"
228,0.228809,"nan","nan","nan"
229,0.229836,"nan","nan","nan"
230,0.230811,"nan","nan","nan"
231,0.231811,"nan","nan","nan"
232,0.232812,"nan","nan","nan"
233,0.233814,"nan","nan","nan"
234,0.234814,"nan","nan","nan"
235,0.235815,"nan","nan","nan"
236,0.236814,"nan","nan","nan"
237,0.237816,"nan","nan","nan"
238,0.238816,"nan","nan","nan"
239,0.239808,"nan","nan","nan"
240,0.240821,"nan","nan","nan"
241,0.241810,"nan","nan","nan"
242,0.242810,"nan","nan","nan"
243,0.243811,"nan","nan","nan"
244,0.244811,"nan","nan","nan"
245,0.245811,"nan","nan","nan"
246,0.246812,"nan","nan","nan"
247,0.247813,"nan","nan","nan"
248,0.248813,"nan","nan","nan"
249,0.249816,"nan","nan","nan"
250,0.250826,"nan","nan","nan"
251,0.251813,"nan","nan","nan"
252,0.252814,"nan","nan","nan"
253,0.253813,"nan","nan","nan"
254,0.254814,"nan","nan","nan"
255,0.255812,"nan","nan","nan"
256,0.256813,"nan","nan","nan"
257,0.257813,"nan","nan","nan"
258,0.258813,"nan","nan","nan"
259,0.259815,"nan","nan","nan"
260,0.260814,"nan","nan","nan"
261,0.261821,"nan","nan","nan"
262,0.262810,"nan","nan","nan"
263,0.263810,"nan","nan","nan"
264,0.264809,"nan","nan","nan"
265,0.265810,"nan","nan","nan"
266,0.266811,"nan","nan","nan"
267,0.267811,"nan","nan","nan"
268,0.268811,"nan","nan","nan"
269,0.269814,"nan","nan","nan"
270,0.270813,"nan","nan","nan"
271,0.271922,"nan","nan","nan"
272,0.272810,"nan","nan","nan"
273,0.273810,"nan","nan","nan"
274,0.274809,"nan","nan","nan"
275,0.275810,"nan","nan","nan"
276,0.276809,"nan","nan","nan"
277,0.277810,"nan","nan","nan"
278,0.278810,"nan","nan","nan"
279,0.279812,"nan","nan","nan"
280,0.280813,"nan","nan","nan"
281,0.281814,"nan","nan","nan"
282,0.282827,"nan","nan","nan"
283,0.283816,"nan","nan","nan"
284,0.284814,"nan","nan","nan"
285,0.285815,"nan","nan","nan"
286,0.286815,"nan","nan","nan"
287,0.287816,"nan","nan","nan"
288,0.288816,"nan","nan","nan"
289,0.289823,"nan","nan","nan"
290,0.290811,"nan","nan","nan"
291,0.291811,"nan","nan","nan"
292,0.292916,"nan","nan","nan"
293,0.293817,"nan","nan","nan"
294,0.294817,"nan","nan","nan"
295,0.295805,"nan","nan","nan"
296,0.296807,"nan","nan","nan"
297,0.297806,"nan","nan","nan"
298,0.298808,"nan","nan","nan"
299,0.299811,"nan","nan","nan"
300,0.300812,"nan","nan","nan"
301,0.301812,"nan","nan","nan"
302,0.302813,"nan","nan","nan"
303,0.303826,"nan","nan","nan"
304,0.304814,"nan","nan","nan"
305,0.305814,"nan","nan","nan"
306,0.306815,"nan","nan","nan"
307,0.307815,"nan","nan","nan"
308,0.308815,"nan","nan","nan"
309,0.309806,"nan","nan","nan"
310,0.310807,"nan","nan","nan"
311,0.311808,"nan","nan","nan"
312,0.312808,"nan","nan","nan"
313,0.313917,"nan","nan","nan"
314,0.314818,"nan","nan","nan"
315,0.315807,"nan","nan","nan"
316,0.316808,"nan","nan","nan"
317,0.317808,"nan","nan","nan"
318,0.318807,"nan","nan","nan"
319,0.319810,"nan","nan","nan"
320,0.320810,"nan","nan","nan"
321,0.321810,"nan","nan","nan"
322,0.322809,"nan","nan","nan"
323,0.323810,"nan","nan","nan"
324,0.324827,"nan","nan","nan"
325,0.325816,"nan","nan","nan"
326,0.326816,"nan","nan","nan"
327,0.327815,"nan","nan","nan"
328,0.328815,"nan","nan","nan"
329,0.329806,"nan","nan","nan"
330,0.330806,"nan","nan","nan"
331,0.331805,"nan","nan","nan"
332,0.332806,"nan","nan","nan"
333,0.333806,"nan","nan","nan"
334,0.334824,"nan","nan","nan"
335,0.335812,"nan","nan","nan"
336,0.336811,"nan","nan","nan"
337,0.337812,"nan","nan","nan"
338,0.338812,"nan","nan","nan"
339,0.339814,"nan","nan","nan"
340,0.340815,"nan","nan","nan"
341,0.341814,"nan","nan","nan"
342,0.342815,"nan","nan","nan"
343,0.343815,"nan","nan","nan"
344,0.344815,"nan","nan","nan"
345,0.345830,"nan","nan","nan"
346,0.346806,"nan","nan","nan"
347,0.347806,"nan","nan","nan"
348,0.348827,"nan","nan","nan"
349,0.349807,"nan","nan","nan"
350,0.350807,"nan","nan","nan"
351,0.351807,"nan","nan","nan"
352,0.352808,"nan","nan","nan"
353,0.353808,"nan","nan","nan"
354,0.354809,"nan","nan","nan"
355,0.355827,"nan","nan","nan"
356,0.356815,"nan","nan","nan"
357,0.357817,"nan","nan","nan"
358,0.358817,"nan","nan","nan"
359,0.359809,"nan","nan","nan"
360,0.360808,"nan","nan","nan"
361,0.361809,"nan","nan","nan"
362,0.362810,"nan","nan","nan"
363,0.363810,"nan","nan","nan"
364,0.364811,"nan","nan","nan"
365,0.365811,"nan","nan","nan"
366,0.366832,"nan","nan","nan"
367,0.367807,"nan","nan","nan"
368,0.368808,"nan","nan","nan"
369,0.369812,"nan","nan","nan"
370,0.370811,"nan","nan","nan"
371,0.371812,"nan","nan","nan"
372,0.372812,"nan","nan","nan"
373,0.373813,"nan","nan","nan"
374,0.374813,"nan","nan","nan"
375,0.375813,"nan","nan","nan"
376,0.376822,"nan","nan","nan"
377,0.377810,"nan","nan","nan"
378,0.378811,"nan","nan","nan"
379,0.379815,"nan","nan","nan"
380,0.380815,"nan","nan","nan"
381,0.381815,"nan","nan","nan"
382,0.382816,"nan","nan","nan"
383,0.383815,"nan","nan","nan"
384,0.384816,"nan","nan","nan"
385,0.385815,"nan","nan","nan"
386,0.386815,"nan","nan","nan"
387,0.387831,"nan","nan","nan"
388,0.388806,"nan","nan","nan"
389,0.389810,"nan","nan","nan"
390,0.390811,"nan","nan","nan"
391,0.391810,"nan","nan","nan"
392,0.392811,"nan","nan","nan"
393,0.393809,"nan","nan","nan"
394,0.394810,"nan","nan","nan"
395,0.395811,"nan","nan","nan"
396,0.396810,"nan","nan","nan"
397,0.397924,"nan","nan","nan"
398,0.398811,"nan","nan","nan"
399,0.399815,"nan","nan","nan"
400,0.400815,"nan","nan","nan"
401,0.401815,"nan","nan","nan"
402,0.402815,"nan","nan","nan"
403,0.403815,"nan","nan","nan"
404,0.404822,"nan","nan","nan"
405,0.405810,"nan","nan","nan"
406,0.406810,"nan","nan","nan"
407,0.407811,"nan","nan","nan"
408,0.408829,"nan","nan","nan"
409,0.409808,"nan","nan","nan"
410,0.410808,"nan","nan","nan"
411,0.411808,"nan","nan","nan"
412,0.412807,"nan","nan","nan"
413,0.413808,"nan","nan","nan"
414,0.414808,"nan","nan","nan"
415,0.415808,"nan","nan","nan"
416,0.416807,"nan","nan","nan"
417,0.417807,"nan","nan","nan"
418,0.418846,"nan","nan","nan"
419,0.419814,"nan","nan","nan"
420,0.420814,"nan","nan","nan"
421,0.421815,"nan","nan","nan"
422,0.422816,"nan","nan","nan"
423,0.423815,"nan","nan","nan"
424,0.424816,"nan","nan","nan"
425,0.425816,"nan","nan","nan"
426,0.426817,"nan","nan","nan"
427,0.427817,"nan","nan","nan"
428,0.428817,"nan","nan","nan"
429,0.429826,"nan","nan","nan"
430,0.430817,"nan","nan","nan"
431,0.431805,"nan","nan","nan"
432,0.432806,"nan","nan","nan"
433,0.433807,"nan","nan","nan"
434,0.434807,"nan","nan","nan"
435,0.435807,"nan","nan","nan"
436,0.436807,"nan","nan","nan"
437,0.437809,"nan","nan","nan"
438,0.438810,"nan","nan","nan"
439,0.439855,"nan","nan","nan"
440,0.440811,"nan","nan","nan"
441,0.441811,"nan","nan","nan"
442,0.442812,"nan","nan","nan"
443,0.443813,"nan","nan","nan"
444,0.444813,"nan","nan","nan"
445,0.445814,"nan","nan","nan"
446,0.446815,"nan","nan","nan"
447,0.447815,"nan","nan","nan"
448,0.448815,"nan","nan","nan"
449,0.449805,"nan","nan","nan"
450,0.450827,"nan","nan","nan"
451,0.451813,"nan","nan","nan"
452,0.452815,"nan","nan","nan"
453,0.453815,"nan","nan","nan"
454,0.454815,"nan","nan","nan"
455,0.455815,"nan","nan","nan"
456,0.456814,"nan","nan","nan"
457,0.457815,"nan","nan","nan"
458,0.458815,"nan","nan","nan"
459,0.459806,"nan","nan","nan"
460,0.460831,"nan","nan","nan"
461,0.461824,"nan","nan","nan"
462,0.462812,"nan","nan","nan"
463,0.463821,"nan","nan","nan"
464,0.464809,"nan","nan","nan"
465,0.465809,"nan","nan","nan"
466,0.466810,"nan","nan","nan"
467,0.467810,"nan","nan","nan"
468,0.468810,"nan","nan","nan"
469,0.469813,"nan","nan","nan"
470,0.470811,"nan","nan","nan"
471,0.471930,"nan","nan","nan"
472,0.472817,"nan","nan","nan"
473,0.473806,"nan","nan","nan"
474,0.474805,"nan","nan","nan"
475,0.475806,"nan","nan","nan"
476,0.476806,"nan","nan","nan"
477,0.477806,"nan","nan","nan"
478,0.478806,"nan","nan","nan"
479,0.479808,"nan","nan","nan"
480,0.480809,"nan","nan","nan"
481,0.481809,"nan","nan","nan"
482,0.482829,"nan","nan","nan"
483,0.483807,"nan","nan","nan"
484,0.484806,"nan","nan","nan"
485,0.485808,"nan","nan","nan"
486,0.486808,"nan","nan","nan"
487,0.487809,"nan","nan","nan"
488,0.488809,"nan","nan","nan"
489,0.489811,"nan","nan","nan"
490,0.490813,"nan","nan","nan"
491,0.491814,"nan","nan","nan"
492,0.492853,"nan","nan","nan"
493,0.493811,"nan","nan","nan"
494,0.494812,"nan","nan","nan"
495,0.495813,"nan","nan","nan"
496,0.496814,"nan","nan","nan"
497,0.497814,"nan","nan","nan"
498,0.498815,"nan","nan","nan"
499,0.499806,"nan","nan","nan"
500,0.500806,"nan","nan","nan"
501,0.501807,"nan","nan","nan"
502,0.502807,"nan","nan","nan"
503,0.503828,"nan","nan","nan"
504,0.504815,"nan","nan","nan"
505,0.505817,"nan","nan","nan"
506,0.506818,"nan","nan","nan"
507,0.507807,"nan","nan","nan"
508,0.508806,"nan","nan","nan"
509,0.509811,"nan","nan","nan"
510,0.510812,"nan","nan","nan"
511,0.511812,"nan","nan","nan"
512,0.512813,"nan","nan","nan"
513,0.513839,"nan","nan","nan"
514,0.514832,"nan","nan","nan"
515,0.515807,"nan","nan","nan"
516,0.516807,"nan","nan","nan"
517,0.517806,"nan","nan","nan"
518,0.518807,"nan","nan","nan"
519,0.519811,"nan","nan","nan"
520,0.520810,"nan","nan","nan"
521,0.521811,"nan","nan","nan"
522,0.522811,"nan","nan","nan"
523,0.523811,"nan","nan","nan"
524,0.524844,"nan","nan","nan"
525,0.525807,"nan","nan","nan"
526,0.526808,"nan","nan","nan"
527,0.527807,"nan","nan","nan"
528,0.528807,"nan","nan","nan"
529,0.529811,"nan","nan","nan"
530,0.530811,"nan","nan","nan"
531,0.531810,"nan","nan","nan"
532,0.532810,"nan","nan","nan"
533,0.533811,"nan","nan","nan"
534,0.534811,"nan","nan","nan"
535,0.535823,"nan","nan","nan"
536,0.536812,"nan","nan","nan"
537,0.537811,"nan","nan","nan"
538,0.538812,"nan","nan","nan"
539,0.539815,"nan","nan","nan"
540,0.540815,"nan","nan","nan"
541,0.541815,"nan","nan","nan"
542,0.542814,"nan","nan","nan"
543,0.543814,"nan","nan","nan"
544,0.544815,"nan","nan","nan"
545,0.545936,"nan","nan","nan"
546,0.546812,"nan","nan","nan"
547,0.547812,"nan","nan","nan"
548,0.548812,"nan","nan","nan"
549,0.549816,"nan","nan","nan"
550,0.550816,"nan","nan","nan"
551,0.551817,"nan","nan","nan"
552,0.552816,"nan","nan","nan"
553,0.553818,"nan","nan","nan"
554,0.554806,"nan","nan","nan"
555,0.555805,"nan","nan","nan"
556,0.556826,"nan","nan","nan"
557,0.557815,"nan","nan","nan"
558,0.558815,"nan","nan","nan"
559,0.559807,"nan","nan","nan"
560,0.560806,"nan","nan","nan"
561,0.561808,"nan","nan","nan"
562,0.562809,"nan","nan","nan"
563,0.563809,"nan","nan","nan"
564,0.564810,"nan","nan","nan"
565,0.565811,"nan","nan","nan"
566,0.566863,"nan","nan","nan"
567,0.567812,"nan","nan","nan"
568,0.568813,"nan","nan","nan"
569,0.569816,"nan","nan","nan"
570,0.570817,"nan","nan","nan"
571,0.571805,"nan","nan","nan"
572,0.572806,"nan","nan","nan"
573,0.573807,"nan","nan","nan"
574,0.574832,"nan","nan","nan"
575,0.575829,"nan","nan","nan"
576,0.576806,"nan","nan","nan"
577,0.577823,"nan","nan","nan"
578,0.578811,"nan","nan","nan"
579,0.579814,"nan","nan","nan"
580,0.580812,"nan","nan","nan"
581,0.581813,"nan","nan","nan"
582,0.582813,"nan","nan","nan"
583,0.583813,"nan","nan","nan"
584,0.584813,"nan","nan","nan"
585,0.585812,"nan","nan","nan"
586,0.586812,"nan","nan","nan"
587,0.587839,"nan","nan","nan"
588,0.588829,"nan","nan","nan"
589,0.589808,"nan","nan","nan"
590,0.590809,"nan","nan","nan"
591,0.591809,"nan","nan","nan"
592,0.592809,"nan","nan","nan"
593,0.593809,"nan","nan","nan"
594,0.594808,"nan","nan","nan"
595,0.595808,"nan","nan","nan"
596,0.596808,"nan","nan","nan"
597,0.597808,"nan","nan","nan"
598,0.598940,"nan","nan","nan"
599,0.599805,"nan","nan","nan"
600,0.600807,"nan","nan","nan"
601,0.601806,"nan","nan","nan"
602,0.602807,"nan","nan","nan"
603,0.603805,"nan","nan","nan"
604,0.604806,"nan","nan","nan"
605,0.605806,"nan","nan","nan"
606,0.606806,"nan","nan","nan"
607,0.607806,"nan","nan","nan"
608,0.608805,"nan","nan","nan"
609,0.609827,"nan","nan","nan"
610,0.610815,"nan","nan","nan"
611,0.611814,"nan","nan","nan"
612,0.612814,"nan","nan","nan"
613,0.613814,"nan","nan","nan"
614,0.614814,"nan","nan","nan"
615,0.615816,"nan","nan","nan"
616,0.616817,"nan","nan","nan"
617,0.617816,"nan","nan","nan"
618,0.618817,"nan","nan","nan"
619,0.619859,"nan","nan","nan"
620,0.620809,"nan","nan","nan"
621,0.621810,"nan","nan","nan"
622,0.622811,"nan","nan","nan"
623,0.623811,"nan","nan","nan"
624,0.624812,"nan","nan","nan"
625,0.625813,"nan","nan","nan"
626,0.626813,"nan","nan","nan"
627,0.627813,"nan","nan","nan"
628,0.628813,"nan","nan","nan"
629,0.629805,"nan","nan","nan"
630,0.630828,"nan","nan","nan"
631,0.631805,"nan","nan","nan"
632,0.632805,"nan","nan","nan"
633,0.633994,"nan","nan","nan"
634,0.634806,"nan","nan","nan"
635,0.635808,"nan","nan","nan"
636,0.636808,"nan","nan","nan"
637,0.637808,"nan","nan","nan"
638,0.638810,"nan","nan","nan"
639,0.639814,"nan","nan","nan"
640,0.640943,"nan","nan","nan"
641,0.641805,"nan","nan","nan"
642,0.642807,"nan","nan","nan"
643,0.643808,"nan","nan","nan"
644,0.644808,"nan","nan","nan"
645,0.645808,"nan","nan","nan"
646,0.646807,"nan","nan","nan"
647,0.647808,"nan","nan","nan"
648,0.648808,"nan","nan","nan"
649,0.649811,"nan","nan","nan"
650,0.650812,"nan","nan","nan"
651,0.651828,"nan","nan","nan"
652,0.652815,"nan","nan","nan"
653,0.653817,"nan","nan","nan"
654,0.654817,"nan","nan","nan"
655,0.655817,"nan","nan","nan"
656,0.656804,"nan","nan","nan"
657,0.657804,"nan","nan","nan"
658,0.658817,"nan","nan","nan"
659,0.659808,"nan","nan","nan"
660,0.660808,"nan","nan","nan"
661,0.661825,"nan","nan","nan"
662,0.662811,"nan","nan","nan"
663,0.663812,"nan","nan","nan"
664,0.664811,"nan","nan","nan"
665,0.665811,"nan","nan","nan"
666,0.666810,"nan","nan","nan"
667,0.667812,"nan","nan","nan"
668,0.668811,"nan","nan","nan"
669,0.669814,"nan","nan","nan"
670,0.670814,"nan","nan","nan"
671,0.671813,"nan","nan","nan"
672,0.672827,"nan","nan","nan"
673,0.673813,"nan","nan","nan"
674,0.674814,"nan","nan","nan"
675,0.675814,"nan","nan","nan"
676,0.676813,"nan","nan","nan"
677,0.677814,"nan","nan","nan"
678,0.678814,"nan","nan","nan"
679,0.679816,"nan","nan","nan"
680,0.680817,"nan","nan","nan"
681,0.681816,"nan","nan","nan"
682,0.682843,"nan","nan","nan"
683,0.683825,"nan","nan","nan"
684,0.684971,"nan","nan","nan"
685,0.685810,"nan","nan","nan"
686,0.686812,"nan","nan","nan"
687,0.687813,"nan","nan","nan"
688,0.688813,"nan","nan","nan"
689,0.689816,"nan","nan","nan"
690,0.690817,"nan","nan","nan"
691,0.691816,"nan","nan","nan"
692,0.692817,"nan","nan","nan"
693,0.693869,"nan","nan","nan"
694,0.694809,"nan","nan","nan"
695,0.695811,"nan","nan","nan"
696,0.696812,"nan","nan","nan"
697,0.697812,"nan","nan","nan"
698,0.698813,"nan","nan","nan"
699,0.699816,"nan","nan","nan"
700,0.700815,"nan","nan","nan"
701,0.701817,"nan","nan","nan"
702,0.702818,"nan","nan","nan"
703,0.703807,"nan","nan","nan"
704,0.704822,"nan","nan","nan"
705,0.705813,"nan","nan","nan"
706,0.706813,"nan","nan","nan"
707,0.707813,"nan","nan","nan"
708,0.708814,"nan","nan","nan"
709,0.709805,"nan","nan","nan"
710,0.710817,"nan","nan","nan"
711,0.711817,"nan","nan","nan"
712,0.712817,"nan","nan","nan"
713,0.713817,"nan","nan","nan"
714,0.714897,"nan","nan","nan"
715,0.715812,"nan","nan","nan"
716,0.716812,"nan","nan","nan"
717,0.717813,"nan","nan","nan"
718,0.718813,"nan","nan","nan"
719,0.719814,"nan","nan","nan"
720,0.720815,"nan","nan","nan"
721,0.721815,"nan","nan","nan"
722,0.722815,"nan","nan","nan"
723,0.723815,"nan","nan","nan"
724,0.724815,"nan","nan","nan"
725,0.725830,"nan","nan","nan"
726,0.726817,"nan","nan","nan"
727,0.727804,"nan","nan","nan"
728,0.728805,"nan","nan","nan"
729,0.729808,"nan","nan","nan"
730,0.730808,"nan","nan","nan"
731,0.731809,"nan","nan","nan"
732,0.732809,"nan","nan","nan"
733,0.733809,"nan","nan","nan"
734,0.734809,"nan","nan","nan"
735,0.735835,"nan","nan","nan"
736,0.736822,"nan","nan","nan"
737,0.737811,"nan","nan","nan"
738,0.738810,"nan","nan","nan"
739,0.739830,"nan","nan","nan"
740,0.740817,"nan","nan","nan"
741,0.741806,"nan","nan","nan"
742,0.742806,"nan","nan","nan"
743,0.743806,"nan","nan","nan"
744,0.744806,"nan","nan","nan"
745,0.745807,"nan","nan","nan"
746,0.746951,"nan","nan","nan"
747,0.747814,"nan","nan","nan"
748,0.748815,"nan","nan","nan"
749,0.749806,"nan","nan","nan"
750,0.750807,"nan","nan","nan"
751,0.751806,"nan","nan","nan"
752,0.752808,"nan","nan","nan"
753,0.753808,"nan","nan","nan"
754,0.754809,"nan","nan","nan"
755,0.755810,"nan","nan","nan"
756,0.756810,"nan","nan","nan"
757,0.757822,"nan","nan","nan"
758,0.758810,"nan","nan","nan"
759,0.759814,"nan","nan","nan"
760,0.760815,"nan","nan","nan"
761,0.761815,"nan","nan","nan"
762,0.762815,"nan","nan","nan"
763,0.763816,"nan","nan","nan"
764,0.764817,"nan","nan","nan"
765,0.765806,"nan","nan","nan"
766,0.766806,"nan","nan","nan"
767,0.767872,"nan","nan","nan"
768,0.768809,"nan","nan","nan"
769,0.769813,"nan","nan","nan"
770,0.770813,"nan","nan","nan"
771,0.771812,"nan","nan","nan"
772,0.772814,"nan","nan","nan"
773,0.773815,"nan","nan","nan"
774,0.774815,"nan","nan","nan"
